"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"ht11";"ht13";"ht19";"pobre";"VivAdec";"desocupado";"Auto";"Internet"
"2019_1_2019046639";47;"Tres Ombues, Victoria";14;"A";2;24;1;40786;0;"3";0;1;1;1;1
"2019_1_2019046641";43;"Tres Ombues, Victoria";14;"A";1;47;1;31480;4000;"4";1;2;0;0;1
"2019_1_2019046642";47;"Cordon";2;"B";1;21;1;102236;18000;"2";0;1;0;0;1
"2019_1_2019046648";23;"Pocitos";5;"CH";2;77;1;59889;0;"1";0;1;0;0;1
"2019_1_2019046650";39;"Villa Garcia, Manga Rur.";9;"F";2;40;1;76579;20000;"3";0;1;0;1;1
"2019_1_2019046651";32;"Union";11;"D";2;56;1;38571;0;"2";0;1;0;0;1
"2019_1_2019046653";42;"Jardines del Hipodromo";9;"F";2;46;1;84985;15000;"5";0;1;0;0;1
"2019_1_2019046657";16;"Punta Gorda";7;"E";2;69;1;62193;25000;"1";0;1;0;0;1
"2019_1_2019046662";42;"Buceo";7;"E";1;43;1;203138,666666667;17000;"4";0;3;0;0;1
"2019_1_2019046664";28;"Punta Gorda";7;"E";1;36;1;32288;0;"1";0;1;0;0;1
"2019_1_2019046665";25;"Larra¦aga";3;"C";1;52;1;125220;26000;"1";0;1;0;1;1
"2019_1_2019046667";18;"Las Acacias";11;"D";2;59;1;36614;15000;"1";0;1;0;0;0
"2019_1_2019046668";22;"Capurro, Bella Vista";16;"C";2;65;1;55220;0;"1";0;1;0;0;1
"2019_1_2019046672";41;"Cerrito";11;"D";1;79;1;45788;10000;"2";0;1;0;0;1
"2019_1_2019046675";41;"Pque. Batlle, V. Dolores";5;"CH";2;38;1;374652;30000;"4";0;1;0;1;1
"2019_1_2019046681";27;"Pocitos";5;"CH";1;73;1;90428;30000;"2";0;1;0;1;1
"2019_1_2019046685";37;"Flor de Maro¦as";9;"F";2;52;1;148579;30000;"3";0;1;0;1;1
"2019_1_2019046687";14;"Punta Carretas";5;"CH";2;38;1;143220;0;"1";0;1;0;0;1
"2019_1_2019046699";27;"Pque. Batlle, V. Dolores";4;"CH";2;48;1;133542;18000;"2";0;1;0;1;1
"2019_1_2019046700";18;"Prado, Nueva Savona";16;"C";1;93;1;137189;35000;"1";0;1;0;0;1
"2019_1_2019046706";17;"Buceo";5;"CH";2;57;1;71297,3333333333;18000;"1";0;1;0;1;1
