"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"ht11";"ht13";"ht19";"pobre";"VivAdec";"desocupado";"Auto";"Internet"
"2019_1_2019000003";27;"Ituzaingo";9;"F";2;32;1;33986,5;5000;"2";0;3;0;0;0
"2019_1_2019000004";29;"Cordon";2;"B";2;53;1;72924;17000;"2";0;1;0;0;1
"2019_1_2019000008";20;"Pocitos";5;"CH";2;85;1;111762;36000;"1";0;1;0;0;1
"2019_1_2019000012";14;"Punta Carretas";5;"CH";2;45;1;32271;0;"1";0;1;0;1;0
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";1;30;1;74749,5;15000;"4";0;2;0;1;1
"2019_1_2019000019";22;"Carrasco";8;"E";2;77;1;219473,333333333;45000;"3";0;1;0;1;1
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";2;86;1;169680;15000;"4";0;1;0;1;1
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";1;45;1;160227;15000;"4";0;2;0;1;1
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";2;30;1;68170;10000;"6";0;2;0;1;0
"2019_1_2019000032";36;"Villa Garcia, Manga Rur.";9;"F";2;42;1;18580,5;6000;"3";1;3;0;0;0
"2019_1_2019000034";26;"Punta Carretas";5;"CH";2;64;1;74576;0;"2";0;1;0;0;1
"2019_1_2019000039";23;"Conciliacion";13;"G";2;74;1;33288;11000;"1";0;2;0;0;0
"2019_1_2019000050";41;"Capurro, Bella Vista";16;"C";2;44;1;62584;7000;"4";0;2;0;0;1
"2019_1_2019000053";38;"Punta Carretas";5;"CH";1;52;1;216666,666666667;50000;"4";0;1;0;1;1
"2019_1_2019000058";39;"Conciliacion";13;"G";2;26;1;43786;0;"3";0;1;0;0;1
"2019_1_2019000060";28;"Punta Carretas";5;"CH";2;37;1;142966,333333333;0;"3";0;1;0;1;1
"2019_1_2019000061";36;"Flor de Maro¦as";9;"F";2;25;1;53526;10000;"2";0;2;0;0;1
"2019_1_2019000064";29;"Capurro, Bella Vista";16;"C";2;53;1;37576;10000;"2";0;1;0;1;1
"2019_1_2019000074";33;"Buceo";5;"CH";2;47;1;329146,333333333;28000;"3";0;1;0;1;1
"2019_1_2019000078";27;"La Figurita";3;"C";1;58;1;76394;0;"2";0;1;0;0;1
"2019_1_2019000079";43;"Ituzaingo";9;"F";1;31;1;108672,5;13000;"7";0;2;0;1;0
"2019_1_2019000086";28;"Pque. Batlle, V. Dolores";4;"CH";2;24;1;35214;0;"1";0;1;0;0;1
"2019_1_2019000097";37;"Capurro, Bella Vista";16;"C";2;35;1;140992,666666667;10000;"7";0;1;0;1;1
"2019_1_2019000101";29;"Ituzaingo";9;"F";2;34;1;77354;10000;"3";0;1;0;1;1
"2019_1_2019000104";28;"Pocitos";5;"CH";2;37;1;91591;0;"3";0;1;0;1;1
"2019_1_2019000109";44;"Buceo";5;"CH";2;19;1;32271;0;"2";0;1;1;0;1
"2019_1_2019000112";37;"Cerro";17;"A";2;46;1;97579;10000;"4";0;1;0;1;1
"2019_1_2019000114";47;"Manga, Toledo Chico";10;"D";2;21;1;38726;9000;"4";1;1;0;0;0
"2019_1_2019000116";18;"Pque. Batlle, V. Dolores";4;"CH";2;56;1;78000;18000;"1";0;1;0;0;0
"2019_1_2019000120";22;"Pe¦arol, Lavalleja";13;"G";2;72;1;113288;11000;"1";0;1;0;1;1
"2019_1_2019000121";23;"Buceo";5;"CH";2;77;1;83118;18000;"1";0;1;0;0;1
"2019_1_2019000123";43;"Cerro";17;"A";2;52;1;92585;15000;"5";0;2;0;1;1
"2019_1_2019000133";23;"Conciliacion";13;"G";2;70;1;57220;0;"1";0;1;0;0;0
"2019_1_2019000138";39;"Pocitos";5;"CH";2;57;1;223373,333333333;25000;"3";0;1;0;1;1
"2019_1_2019000140";50;"Aires Puros";15;"C";1;32;1;100604,333333333;15000;"2";0;1;0;1;1
"2019_1_2019000143";21;"Pque. Batlle, V. Dolores";4;"CH";1;65;1;55271;18000;"1";0;1;0;0;1
"2019_1_2019000144";41;"Pocitos";5;"CH";1;45;1;32118;0;"1";0;1;0;0;1
"2019_1_2019000155";48;"Castro, P. Castellanos";11;"D";2;75;1;105405;0;"7";0;1;0;0;1
"2019_1_2019000156";35;"Villa Espa¦ola";11;"D";2;38;1;50386;0;"2";0;1;0;0;1
"2019_1_2019000157";33;"Belvedere";14;"A";2;66;1;70576;17000;"2";0;1;0;0;1
"2019_1_2019000170";35;"Pocitos";5;"CH";1;44;1;88333,3333333333;0;"1";0;1;0;1;1
"2019_1_2019000172";31;"Nuevo Paris";13;"G";2;67;1;37178;12000;"2";0;1;0;1;1
"2019_1_2019000174";41;"Capurro, Bella Vista";16;"C";1;52;1;138061,333333333;13000;"6";0;1;0;0;1
"2019_1_2019000176";23;"Nuevo Paris";13;"G";2;72;1;33262;13000;"1";0;2;0;0;0
"2019_1_2019000178";22;"Las Acacias";11;"D";1;73;1;26783;8000;"1";0;3;0;0;0
"2019_1_2019000182";35;"Las Acacias";11;"D";2;50;1;88486;0;"3";0;1;0;0;1
"2019_1_2019000186";18;"Tres Cruces";2;"B";2;61;1;49193;15000;"1";0;1;0;0;1
"2019_1_2019000187";35;"Ciudad Vieja";1;"B";1;48;1;95320;15000;"2";0;1;0;0;1
"2019_1_2019000191";28;"Punta Carretas";5;"CH";2;63;1;119612;32000;"2";0;1;0;1;1
"2019_1_2019000194";26;"Malvin";7;"E";1;59;1;213326;25000;"2";0;1;0;1;1
"2019_1_2019000196";28;"Buceo";7;"E";1;68;1;78060,6666666667;18000;"2";0;1;0;1;1
"2019_1_2019000197";24;"Pe¦arol, Lavalleja";13;"G";1;50;1;47271;0;"1";0;1;0;1;0
"2019_1_2019000198";39;"Punta Carretas";5;"CH";2;46;1;154950;36510;"5";0;1;0;1;1
"2019_1_2019000199";40;"Belvedere";14;"A";1;54;1;68256;12000;"4";0;1;0;1;1
"2019_1_2019000201";25;"Pocitos";5;"CH";1;63;1;91345;18000;"1";0;1;0;1;1
"2019_1_2019000209";39;"Casabo, Pajas Blancas";17;"A";2;46;1;35193;15000;"3";1;1;1;0;0
"2019_1_2019000211";25;"Pque. Batlle, V. Dolores";5;"CH";2;23;1;57288;0;"1";0;1;0;0;1
"2019_1_2019000217";38;"Manga, Toledo Chico";10;"D";2;62;1;69788;0;"4";0;1;0;1;1
"2019_1_2019000223";23;"La Figurita";3;"C";2;89;1;76770;0;"1";0;1;0;0;1
"2019_1_2019000226";46;"Pe¦arol, Lavalleja";13;"G";1;28;1;85185,5;10000;"3";0;2;0;0;0
"2019_1_2019000227";23;"Pocitos";5;"CH";2;92;1;107197;25000;"1";0;1;0;0;0
"2019_1_2019000233";26;"La Paloma, Tomkinson";17;"A";1;51;1;52184;9000;"1";0;1;0;1;1
"2019_1_2019000241";40;"Paso de la Arena";18;"A";1;59;1;127924,333333333;0;"3";0;1;0;1;1
"2019_1_2019000242";38;"Casabo, Pajas Blancas";17;"A";2;33;1;74428;11000;"2";0;1;0;0;0
"2019_1_2019000245";47;"Conciliacion";13;"G";1;28;1;51405,5;8000;"4";0;2;0;1;1
"2019_1_2019000246";27;"Pocitos";5;"CH";1;75;1;143360;25000;"2";0;1;0;1;1
"2019_1_2019000247";16;"Barrio Sur";1;"B";2;33;1;60988;0;"1";0;1;0;0;1
"2019_1_2019000262";36;"Tres Cruces";2;"B";1;36;1;94636;0;"2";0;1;0;1;1
"2019_1_2019000263";31;"Villa Garcia, Manga Rur.";9;"F";1;57;1;103894;9000;"2";0;2;0;0;1
"2019_1_2019000264";36;"Buceo";5;"CH";1;41;1;33262;15000;"2";0;1;0;1;0
"2019_1_2019000267";44;"Pta. Rieles, Bella Italia";9;"F";1;27;1;84994;12000;"5";0;1;0;0;1
"2019_1_2019000272";35;"Sayago";13;"G";2;40;1;54386;16000;"2";0;1;0;1;1
"2019_1_2019000275";42;"Reducto";3;"C";1;47;1;177864;16000;"3";0;1;0;1;1
"2019_1_2019000276";23;"Las Acacias";11;"D";2;81;1;48184;20000;"1";0;2;0;0;0
"2019_1_2019000284";30;"Pe¦arol, Lavalleja";13;"G";2;74;1;37124;0;"2";0;2;0;0;1
"2019_1_2019000290";31;"Centro";1;"B";1;83;1;55360;18000;"2";0;1;0;0;1
"2019_1_2019000300";41;"Centro";1;"B";2;25;1;123576;0;"2";0;1;0;0;1
"2019_1_2019000301";35;"Pe¦arol, Lavalleja";13;"G";2;45;1;65029;8000;"3";0;2;0;0;0
"2019_1_2019000305";31;"Reducto";16;"C";1;437;1;NA;18000;"---";0;1;0;0;1
"2019_1_2019000308";40;"Villa Espa¦ola";9;"F";1;46;1;42271;0;"1";0;1;0;1;1
"2019_1_2019000310";18;"Paso de la Arena";18;"A";2;64;1;20271;7000;"1";0;2;0;0;0
"2019_1_2019000315";21;"Cordon";2;"B";1;74;1;127214;20000;"1";0;1;0;1;1
"2019_1_2019000317";44;"Conciliacion";13;"G";2;41;1;52784;10000;"5";1;2;0;0;1
"2019_1_2019000320";40;"La Teja";14;"A";1;44;1;28100;12000;"4";1;2;0;0;0
"2019_1_2019000321";43;"Casabo, Pajas Blancas";17;"A";2;38;1;30500;14000;"4";1;1;1;0;1
"2019_1_2019000326";42;"La Paloma, Tomkinson";17;"A";2;67;1;54552;12000;"4";0;1;0;1;1
"2019_1_2019000327";39;"Cerrito";11;"D";2;31;1;61440;9000;"3";0;2;0;0;1
"2019_1_2019000333";39;"Union";6;"E";1;47;1;42000;15000;"1";0;1;1;1;1
"2019_1_2019000335";30;"Palermo";2;"B";2;60;1;175989;21000;"2";0;1;0;1;1
"2019_1_2019000337";24;"Pe¦arol, Lavalleja";13;"G";2;64;1;61576;14000;"2";0;2;0;0;1
"2019_1_2019000339";42;"Pta. Rieles, Bella Italia";9;"F";1;54;1;68629,4;7500;"6";0;3;0;0;1
"2019_1_2019000341";23;"Aires Puros";15;"C";2;70;1;34664;0;"1";0;1;0;0;1
"2019_1_2019000350";33;"Cerrito";11;"D";2;83;1;126660;20000;"3";0;1;0;0;1
"2019_1_2019000358";25;"Las Acacias";11;"D";1;53;1;55271;15000;"1";0;1;0;1;1
"2019_1_2019000362";43;"Centro";1;"B";1;52;1;156590,666666667;23000;"4";0;1;0;1;1
"2019_1_2019000367";44;"Centro";1;"B";2;27;1;57378;0;"2";0;1;0;0;1
"2019_1_2019000368";37;"Pta. Rieles, Bella Italia";9;"F";1;66;1;64378;8000;"2";0;1;0;0;1
"2019_1_2019000370";39;"Barrio Sur";1;"B";1;68;1;115590;24000;"4";0;1;0;1;1
"2019_1_2019000376";43;"Centro";2;"B";2;58;1;251520,666666667;20000;"4";0;1;0;1;1
"2019_1_2019000381";29;"Colon Centro y Noroeste";12;"G";2;58;1;60030;10000;"2";0;1;0;0;0
"2019_1_2019000382";44;"Pe¦arol, Lavalleja";13;"G";1;44;1;54170,5;12000;"5";1;3;0;0;0
"2019_1_2019000383";26;"La Comercial";3;"C";2;177;1;NA;10000;"---";0;1;0;0;1
"2019_1_2019000384";44;"Nuevo Paris";13;"G";2;42;1;120105,333333333;16000;"4";0;2;0;1;1
"2019_1_2019000388";33;"Malvin Norte";6;"E";2;76;1;30193;9000;"2";0;1;0;0;0
"2019_1_2019000390";23;"Aires Puros";15;"C";2;69;1;78430;20000;"1";0;1;0;1;1
"2019_1_2019000391";44;"La Teja";14;"A";2;23;1;38886;0;"3";0;2;0;0;0
"2019_1_2019000394";42;"Aguada";3;"C";1;32;1;136591;25000;"3";0;1;0;1;1
"2019_1_2019000401";49;"Casabo, Pajas Blancas";17;"A";1;42;1;39564;8000;"6";1;2;0;0;1
"2019_1_2019000402";35;"La Comercial";2;"B";1;48;1;49576;0;"2";0;1;0;0;1
"2019_1_2019000405";42;"Pocitos";5;"CH";1;83;1;104955;0;"7";0;1;0;0;1
"2019_1_2019000407";31;"Punta Gorda";7;"E";1;56;1;238433,333333333;45000;"5";0;1;0;1;1
"2019_1_2019000410";20;"Carrasco";8;"E";1;61;1;40000;30000;"2";0;1;0;0;1
"2019_1_2019000412";42;"Casabo, Pajas Blancas";17;"A";2;36;1;66442,5;8000;"4";0;3;0;0;1
"2019_1_2019000416";43;"Brazo Oriental";3;"C";2;79;1;53428;10000;"2";0;1;0;0;1
"2019_1_2019000424";36;"Buceo";5;"CH";1;47;1;132485,333333333;60000;"4";0;1;0;1;1
"2019_1_2019000426";18;"Union";6;"E";2;60;1;70271;15000;"1";0;1;0;1;1
"2019_1_2019000427";27;"Pocitos";5;"CH";1;74;1;117576;45000;"2";0;1;0;1;1
"2019_1_2019000429";31;"Centro";1;"B";2;75;1;105236;15000;"2";0;1;0;1;1
"2019_1_2019000430";36;"Villa Mu¦oz, Retiro";3;"C";2;43;1;50891;0;"3";0;1;0;0;1
"2019_1_2019000433";32;"Carrasco";8;"E";1;24;1;83332;0;"2";0;1;0;1;1
"2019_1_2019000434";23;"Pocitos";5;"CH";2;37;1;103052,666666667;22000;"2";0;1;0;1;1
"2019_1_2019000436";40;"Villa Garcia, Manga Rur.";9;"F";2;32;1;22370,5;8000;"5";1;3;0;0;0
"2019_1_2019000438";35;"Pocitos";5;"CH";1;31;1;176954,666666667;0;"1";0;1;0;1;1
"2019_1_2019000440";40;"Las Canteras";8;"E";1;43;1;36271;15000;"2";0;1;1;0;1
"2019_1_2019000443";23;"Maro¦as, Parque Guarani";9;"F";2;80;1;39288;20000;"1";0;1;0;0;1
"2019_1_2019000445";39;"Malvin Norte";6;"E";2;36;1;75983;10000;"7";1;1;0;0;0
"2019_1_2019000446";29;"La Figurita";3;"C";2;51;1;69236;15000;"2";0;1;0;1;1
"2019_1_2019000454";29;"Larra¦aga";3;"C";2;51;1;72236;18000;"2";0;1;0;0;1
"2019_1_2019000455";35;"Punta Carretas";5;"CH";1;43;1;250735,333333333;50000;"4";0;1;0;1;1
"2019_1_2019000460";17;"Sayago";13;"G";2;62;1;42588;18000;"1";0;1;0;0;0
"2019_1_2019000467";32;"Manga, Toledo Chico";10;"D";1;246;1;NA;15000;"---";0;1;0;1;0
"2019_1_2019000469";42;"Union";6;"E";2;26;1;70894;0;"2";0;1;0;1;1
"2019_1_2019000474";39;"Pe¦arol, Lavalleja";13;"G";1;65;1;73500,3333333333;0;"5";0;1;0;0;1
"2019_1_2019000483";35;"Casavalle";11;"D";1;57;1;45312;9000;"3";0;1;0;0;1
"2019_1_2019000487";41;"Belvedere";14;"A";1;60;1;72489;17000;"3";0;2;0;0;1
"2019_1_2019000492";31;"Villa Garcia, Manga Rur.";9;"F";1;61;1;44288;20000;"2";0;1;0;1;0
"2019_1_2019000493";41;"Larra¦aga";3;"C";2;48;1;69279;30000;"4";0;1;0;0;1
"2019_1_2019000499";41;"Nuevo Paris";18;"A";2;63;1;61772;6000;"4";0;2;0;1;1
"2019_1_2019000502";22;"Punta Gorda";7;"E";2;38;1;97144;30000;"3";0;1;0;1;1
"2019_1_2019000503";17;"Reducto";3;"C";2;56;1;108703;15000;"1";0;1;0;0;1
"2019_1_2019000504";43;"Manga";9;"F";1;65;1;54628;0;"2";0;1;0;0;0
"2019_1_2019000505";25;"Manga";10;"D";1;61;1;28193;6000;"1";0;2;0;0;1
"2019_1_2019000506";35;"Cordon";2;"B";2;57;1;31576;0;"2";0;1;0;0;1
"2019_1_2019000514";37;"Prado, Nueva Savona";14;"A";1;45;1;25000;0;"2";1;2;0;1;0
"2019_1_2019000520";43;"Malvin";7;"E";1;68;1;263660;35000;"3";0;1;0;1;1
"2019_1_2019000526";50;"Union";6;"E";2;70;1;82824;20000;"4";0;1;0;0;0
"2019_1_2019000528";42;"Buceo";7;"E";2;43;1;95310;0;"5";0;1;0;0;1
"2019_1_2019000534";31;"Colon Centro y Noroeste";12;"G";1;74;1;29878;0;"2";0;1;0;0;0
"2019_1_2019000536";39;"La Blanqueada";4;"CH";2;45;1;118158,5;0;"3";0;1;0;0;1
"2019_1_2019000538";36;"Pque. Batlle, V. Dolores";5;"CH";1;47;1;314747,333333333;30000;"4";0;1;0;1;1
"2019_1_2019000543";28;"Carrasco";8;"E";2;42;1;437273,333333333;65000;"5";0;1;0;1;1
"2019_1_2019000545";38;"Cordon";2;"B";1;31;1;97354;25000;"3";0;1;0;1;1
"2019_1_2019000547";31;"Centro";2;"B";2;49;1;74461,3333333333;18000;"2";0;1;0;0;1
"2019_1_2019000556";42;"Pque. Batlle, V. Dolores";5;"CH";2;66;1;297576,666666667;25000;"5";0;1;0;1;1
"2019_1_2019000559";24;"Ciudad Vieja";1;"B";1;64;1;161406,166666667;17000;"1";0;1;0;0;1
"2019_1_2019000561";41;"Pe¦arol, Lavalleja";13;"G";2;31;1;88654;12000;"4";0;1;0;0;1
"2019_1_2019000563";22;"Belvedere";14;"A";1;67;1;28180;0;"1";0;2;0;0;0
"2019_1_2019000570";27;"Pocitos";5;"CH";1;80;1;124542;20000;"2";0;1;0;1;1
"2019_1_2019000571";20;"Mercado Modelo, Bolivar";11;"D";1;65;1;35689;8000;"1";0;2;0;0;1
"2019_1_2019000587";31;"Punta Gorda";7;"E";1;49;1;767110;45000;"4";0;1;0;1;1
"2019_1_2019000590";38;"Larra¦aga";3;"C";2;37;1;78813;0;"3";0;1;0;1;1
"2019_1_2019000594";20;"Sayago";13;"G";1;79;1;49262;15000;"1";0;1;0;0;1
"2019_1_2019000595";40;"Las Canteras";6;"E";2;30;1;24321,5;0;"4";1;2;1;0;0
"2019_1_2019000598";42;"Cerro";17;"A";2;86;1;61428;10000;"3";0;1;0;0;1
"2019_1_2019000599";34;"Sayago";13;"G";2;83;1;80840;0;"3";0;2;0;0;1
"2019_1_2019000603";33;"Jardines del Hipodromo";9;"F";1;24;1;15000;0;"1";0;1;0;0;0
"2019_1_2019000604";20;"Cerrito";11;"D";1;65;1;76189;14000;"1";0;1;0;0;1
"2019_1_2019000611";41;"Sayago";13;"G";2;36;1;43586;0;"4";1;1;0;0;0
"2019_1_2019000612";50;"La Figurita";3;"C";2;55;1;85152;16000;"4";0;1;0;1;1
"2019_1_2019000618";23;"Las Canteras";8;"E";2;80;1;110579;25000;"1";0;1;0;0;1
"2019_1_2019000622";42;"Villa Mu¦oz, Retiro";2;"B";1;52;1;119360;14000;"6";0;1;0;0;1
"2019_1_2019000623";31;"Buceo";5;"CH";1;79;1;54236;15000;"2";0;1;0;1;1
"2019_1_2019000626";32;"Larra¦aga";3;"C";2;40;1;84353;17000;"3";0;2;0;0;1
"2019_1_2019000629";30;"Larra¦aga";3;"C";1;72;1;57378;20000;"2";0;1;0;0;1
"2019_1_2019000632";16;"Carrasco";8;"E";1;80;1;817909,333333333;45000;"2";0;1;0;1;1
"2019_1_2019000633";21;"Buceo";5;"CH";1;66;1;79214;18000;"1";0;1;0;0;1
"2019_1_2019000635";35;"Tres Cruces";4;"CH";2;34;1;53603;0;"3";0;1;0;0;1
"2019_1_2019000636";44;"Larra¦aga";3;"C";1;47;1;100396;0;"4";0;1;0;1;1
"2019_1_2019000639";33;"Capurro, Bella Vista";16;"C";2;69;1;135794;20000;"2";0;1;0;1;1
"2019_1_2019000640";46;"Pta. Rieles, Bella Italia";9;"F";1;35;1;104672,2;8000;"5";0;3;0;0;1
"2019_1_2019000642";23;"Punta Carretas";5;"CH";2;253;1;NA;35000;"---";0;1;0;1;1
"2019_1_2019000649";23;"Larra¦aga";4;"CH";2;74;1;59214;18000;"1";0;1;0;0;1
"2019_1_2019000650";42;"La Paloma, Tomkinson";17;"A";1;66;1;37364;7000;"4";1;2;0;0;0
"2019_1_2019000651";34;"Malvin";7;"E";1;44;1;109394;25000;"3";0;1;0;1;1
"2019_1_2019000659";41;"Cerrito";11;"D";2;33;1;66189,5;0;"6";1;1;0;0;1
"2019_1_2019000672";44;"Flor de Maro¦as";9;"F";1;25;1;69684;17000;"4";0;1;0;0;1
"2019_1_2019000673";41;"Tres Cruces";2;"B";2;23;1;50360;0;"2";0;1;0;0;1
"2019_1_2019000681";33;"Las Canteras";8;"E";1;53;1;115608,666666667;15000;"3";0;1;0;1;1
"2019_1_2019000688";30;"Malvin Norte";6;"E";2;59;1;70378;19000;"3";0;1;0;0;1
"2019_1_2019000689";35;"Punta Carretas";5;"CH";2;40;1;282981,333333333;40000;"4";0;1;0;1;1
"2019_1_2019000694";47;"Castro, P. Castellanos";11;"D";2;28;1;89576;0;"2";0;1;0;0;1
"2019_1_2019000698";34;"Villa Garcia, Manga Rur.";9;"F";2;63;1;20305;9000;"2";1;1;0;0;0
"2019_1_2019000702";41;"Flor de Maro¦as";9;"F";2;44;1;51048;12000;"4";0;1;0;1;1
"2019_1_2019000703";35;"Union";6;"E";2;60;1;85371,3333333333;20000;"2";0;1;0;0;1
"2019_1_2019000709";36;"Pocitos";5;"CH";2;34;1;172943,333333333;0;"2";0;1;0;1;1
"2019_1_2019000713";27;"Ciudad Vieja";1;"B";2;80;1;110542;25000;"2";0;1;0;0;1
"2019_1_2019000715";37;"Castro, P. Castellanos";11;"D";2;58;1;89928;17000;"2";0;1;0;1;1
"2019_1_2019000723";30;"Pe¦arol, Lavalleja";13;"G";1;87;1;58076;12000;"2";0;1;0;0;1
"2019_1_2019000729";40;"Ituzaingo";9;"F";1;47;1;18000;7000;"1";0;3;0;0;0
"2019_1_2019000735";20;"Pocitos";5;"CH";2;82;1;54214;0;"1";0;1;0;0;0
"2019_1_2019000736";38;"Villa Espa¦ola";11;"D";2;55;1;155540;15000;"5";0;1;0;1;1
"2019_1_2019000737";31;"Malvin";6;"E";2;79;1;114576;25000;"2";0;1;0;1;1
"2019_1_2019000738";35;"Aires Puros";11;"D";1;42;1;63118;0;"2";0;1;0;1;1
"2019_1_2019000744";37;"Lezica, Melilla";12;"G";1;60;1;115576;14000;"3";0;1;0;1;1
"2019_1_2019000746";32;"Malvin";7;"E";2;54;1;27000;12000;"2";0;1;0;0;0
"2019_1_2019000747";24;"Colon Centro y Noroeste";12;"G";2;80;1;27262;8000;"1";0;1;0;0;0
"2019_1_2019000757";20;"Punta Carretas";5;"CH";2;81;1;173304,083333333;25000;"1";0;1;0;1;1
"2019_1_2019000759";31;"Centro";1;"B";2;69;1;94428;30000;"2";0;1;0;1;1
"2019_1_2019000765";44;"Manga";10;"D";2;33;1;109720;12000;"4";0;2;0;0;1
"2019_1_2019000770";38;"Cordon";2;"B";2;38;1;85146,3333333333;21000;"3";0;1;1;1;1
"2019_1_2019000773";29;"Carrasco";8;"E";1;57;1;366405,666666667;35000;"4";0;1;0;1;1
"2019_1_2019000774";24;"Pe¦arol, Lavalleja";13;"G";1;53;1;41271;15000;"1";0;1;0;0;1
"2019_1_2019000775";44;"Centro";1;"B";2;21;1;52524;0;"2";0;1;0;0;1
"2019_1_2019000782";44;"Cerro";17;"A";2;485;1;NA;0;"---";0;2;0;1;0
"2019_1_2019000785";43;"Jardines del Hipodromo";9;"F";2;44;1;61384;14000;"4";0;1;0;0;1
"2019_1_2019000792";41;"Parque Rodo";2;"B";1;32;1;32118;0;"1";0;1;0;0;0
"2019_1_2019000793";33;"Sayago";13;"G";2;54;1;95288;20000;"2";0;1;0;0;1
"2019_1_2019000801";20;"Pocitos";5;"CH";2;82;1;56118;0;"1";0;1;0;0;0
"2019_1_2019000803";32;"Pe¦arol, Lavalleja";13;"G";2;37;1;49639;0;"3";0;1;0;1;1
"2019_1_2019000806";33;"Castro, P. Castellanos";11;"D";2;70;1;62378;15000;"2";0;2;0;0;0
"2019_1_2019000815";23;"Tres Ombues, Victoria";14;"A";2;80;1;47214;15000;"1";0;1;0;0;1
"2019_1_2019000827";22;"Mercado Modelo, Bolivar";11;"D";2;69;1;31771;16000;"1";0;1;0;0;1
"2019_1_2019000832";33;"Castro, P. Castellanos";11;"D";1;52;1;75354;15000;"3";0;2;0;1;1
"2019_1_2019000833";16;"Pocitos";5;"CH";2;38;1;44197;0;"1";0;1;0;0;1
"2019_1_2019000836";28;"La Paloma, Tomkinson";17;"A";2;54;1;45010;6000;"3";0;3;0;0;0
"2019_1_2019000837";27;"Barrio Sur";1;"B";2;43;1;96542;20000;"2";0;1;0;1;1
"2019_1_2019000842";49;"Union";6;"E";2;49;1;219166,666666667;25000;"4";0;2;0;1;1
"2019_1_2019000848";42;"Larra¦aga";3;"C";2;29;1;105464,666666667;0;"2";0;1;0;1;1
"2019_1_2019000850";29;"La Comercial";3;"C";2;54;1;71076;0;"2";0;1;0;0;1
"2019_1_2019000855";29;"Castro, P. Castellanos";11;"D";2;56;1;100294;12000;"2";0;1;0;1;1
"2019_1_2019000857";21;"Carrasco";8;"E";1;74;1;284236;75000;"3";0;1;0;1;1
"2019_1_2019000862";23;"Capurro, Bella Vista";16;"C";2;74;1;91220;15000;"1";0;1;0;0;1
"2019_1_2019000865";42;"Manga";10;"D";1;36;1;95472;10000;"4";0;3;0;1;0
"2019_1_2019000866";41;"Pocitos";5;"CH";1;43;1;72197;0;"1";0;1;0;1;1
"2019_1_2019000868";37;"Mercado Modelo, Bolivar";3;"C";2;36;1;69864;0;"3";0;1;0;0;1
"2019_1_2019000878";39;"Buceo";4;"CH";1;50;1;81610,5;25000;"4";0;1;0;1;1
"2019_1_2019000883";42;"Sayago";13;"G";1;22;1;38193;0;"2";0;3;0;0;1
"2019_1_2019000887";21;"Carrasco";8;"E";1;90;1;162524;30000;"2";0;1;0;1;1
"2019_1_2019000889";29;"Carrasco";8;"E";1;46;1;474688,333333333;45000;"5";0;1;0;1;1
"2019_1_2019000893";27;"Cerro";17;"A";1;64;1;36271;10000;"2";0;1;0;0;0
"2019_1_2019000897";42;"Villa Garcia, Manga Rur.";9;"F";1;57;1;49415,5;10000;"5";1;3;0;0;0
"2019_1_2019000905";18;"Union";9;"F";2;60;1;30197;17000;"1";0;1;0;0;0
"2019_1_2019000907";35;"Manga, Toledo Chico";10;"D";1;58;1;17000;7000;"2";1;3;0;0;0
"2019_1_2019000912";22;"Manga, Toledo Chico";10;"D";1;72;1;24818;6000;"1";0;2;0;0;0
"2019_1_2019000916";27;"Punta Carretas";5;"CH";1;68;1;119813;35000;"3";0;1;0;1;1
"2019_1_2019000924";44;"Aires Puros";15;"C";2;54;1;150662,083333333;0;"5";0;1;0;1;1
"2019_1_2019000933";17;"Paso de las Duranas";13;"G";2;63;1;29118;8000;"1";0;1;0;0;0
"2019_1_2019000934";29;"Jardines del Hipodromo";9;"F";2;60;1;67042;18000;"2";0;1;0;1;1
"2019_1_2019000940";26;"Pe¦arol, Lavalleja";13;"G";1;66;1;63376;15000;"2";0;1;0;1;1
"2019_1_2019000942";38;"Ituzaingo";9;"F";2;48;1;68354;7000;"3";0;1;0;1;1
"2019_1_2019000945";41;"Paso de las Duranas";13;"G";1;80;1;113656;20000;"6";0;1;0;0;1
"2019_1_2019000950";38;"Pocitos";5;"CH";1;82;1;387788;40000;"5";0;1;0;1;1
"2019_1_2019000960";33;"Maro¦as, Parque Guarani";9;"F";2;66;1;47336;14000;"3";0;2;0;0;1
"2019_1_2019000964";43;"Jardines del Hipodromo";9;"F";2;53;1;45984;10000;"4";1;2;0;0;0
"2019_1_2019000971";39;"Pta. Rieles, Bella Italia";9;"F";1;59;1;58262;6000;"2";0;2;0;0;0
"2019_1_2019000974";32;"Pocitos";5;"CH";1;57;1;63576;0;"2";0;1;0;0;1
"2019_1_2019000977";46;"Villa Espa¦ola";11;"D";2;70;1;63397,5;10000;"7";1;3;0;0;0
"2019_1_2019000982";44;"Lezica, Melilla";12;"G";1;178;1;NA;12000;"---";0;2;0;0;1
"2019_1_2019000999";37;"Prado, Nueva Savona";15;"C";1;63;1;193803,333333333;25000;"4";0;2;0;1;1
"2019_1_2019001000";47;"Cordon";2;"B";2;28;1;42576;0;"2";0;1;0;0;1
