"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"desocupado";"ocupados";"subempleo";"pobpcoac";"TotEduc"
"2019_1_2019000003";27;"Ituzaingo";9;"F";2;32;1;0;1;0;2;"8"
"2019_1_2019000003";27;"Ituzaingo";9;"F";1;9;4;0;0;0;1;"2"
"2019_1_2019000004";29;"Cordon";2;"B";2;53;1;0;1;0;2;"16"
"2019_1_2019000004";29;"Cordon";2;"B";2;13;4;0;0;0;1;"7"
"2019_1_2019000008";20;"Pocitos";5;"CH";2;85;1;0;0;0;10;"14"
"2019_1_2019000012";14;"Punta Carretas";5;"CH";2;45;1;0;1;1;2;"15"
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";1;6;3;0;0;0;1;"0"
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";1;30;1;0;1;0;2;"8"
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";2;28;2;1;0;0;4;"9"
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";2;13;5;0;0;0;1;"6"
"2019_1_2019000019";22;"Carrasco";8;"E";2;77;1;0;0;0;10;"12"
"2019_1_2019000019";22;"Carrasco";8;"E";1;14;11;0;0;0;7;"8"
"2019_1_2019000019";22;"Carrasco";8;"E";2;45;4;0;1;0;2;"18"
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";2;86;1;0;0;0;10;"9"
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";2;33;13;0;1;0;2;"12"
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";2;12;12;0;0;0;1;"6"
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";1;38;12;0;1;0;2;"16"
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";2;26;3;0;1;0;2;"14"
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";2;58;2;0;1;0;2;"9"
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";1;30;3;0;1;0;2;"12"
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";1;45;1;0;1;0;2;"6"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";2;30;1;0;1;0;2;"7"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";1;7;3;0;0;0;1;"0"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";2;8;3;0;0;0;1;"2"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";1;39;2;0;1;0;2;"6"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";1;6;3;0;0;0;1;"0"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";1;10;3;0;0;0;1;"3"
"2019_1_2019000032";36;"Villa Garcia, Manga Rur.";9;"F";1;16;4;0;0;0;7;"6"
"2019_1_2019000032";36;"Villa Garcia, Manga Rur.";9;"F";2;42;1;0;1;0;2;"9"
"2019_1_2019000032";36;"Villa Garcia, Manga Rur.";9;"F";2;11;4;0;0;0;1;"4"
"2019_1_2019000034";26;"Punta Carretas";5;"CH";2;64;1;0;0;0;10;"17"
"2019_1_2019000034";26;"Punta Carretas";5;"CH";1;59;2;0;1;1;2;"10"
"2019_1_2019000039";23;"Conciliacion";13;"G";2;74;1;0;0;0;9;"5"
"2019_1_2019000050";41;"Capurro, Bella Vista";16;"C";1;50;9;0;0;0;9;"6"
"2019_1_2019000050";41;"Capurro, Bella Vista";16;"C";2;44;1;0;1;0;2;"10"
"2019_1_2019000050";41;"Capurro, Bella Vista";16;"C";2;5;3;0;0;0;1;"0"
"2019_1_2019000050";41;"Capurro, Bella Vista";16;"C";1;45;2;0;1;0;2;"6"
"2019_1_2019000053";38;"Punta Carretas";5;"CH";1;52;1;0;1;0;2;"19"
"2019_1_2019000053";38;"Punta Carretas";5;"CH";1;18;3;0;0;0;7;"11"
"2019_1_2019000053";38;"Punta Carretas";5;"CH";1;21;3;0;0;0;7;"14"
"2019_1_2019000053";38;"Punta Carretas";5;"CH";2;50;2;0;0;0;6;"12"
"2019_1_2019000058";39;"Conciliacion";13;"G";2;5;4;0;0;0;1;"0"
"2019_1_2019000058";39;"Conciliacion";13;"G";1;8;4;0;0;0;1;"2"
"2019_1_2019000058";39;"Conciliacion";13;"G";2;26;1;0;1;0;2;"11"
"2019_1_2019000060";28;"Punta Carretas";5;"CH";1;6;4;0;0;0;1;"0"
"2019_1_2019000060";28;"Punta Carretas";5;"CH";2;8;4;0;0;0;1;"1"
"2019_1_2019000060";28;"Punta Carretas";5;"CH";2;37;1;0;1;0;2;"16"
"2019_1_2019000061";36;"Flor de Maro¦as";9;"F";2;25;1;0;1;0;2;"12"
"2019_1_2019000061";36;"Flor de Maro¦as";9;"F";2;3;4;0;0;0;1;"0"
"2019_1_2019000064";29;"Capurro, Bella Vista";16;"C";1;53;2;0;1;0;2;"6"
"2019_1_2019000064";29;"Capurro, Bella Vista";16;"C";2;53;1;0;1;0;2;"6"
"2019_1_2019000074";33;"Buceo";5;"CH";2;47;1;0;1;0;2;"23"
"2019_1_2019000074";33;"Buceo";5;"CH";1;50;2;0;1;0;2;"10"
"2019_1_2019000074";33;"Buceo";5;"CH";2;3;3;0;0;0;1;"0"
"2019_1_2019000078";27;"La Figurita";3;"C";1;58;1;0;1;0;2;"11"
"2019_1_2019000078";27;"La Figurita";3;"C";2;40;2;0;1;0;2;"9"
"2019_1_2019000079";43;"Ituzaingo";9;"F";1;7;4;NA;NA;NA;NA;"---"
"2019_1_2019000079";43;"Ituzaingo";9;"F";2;10;4;0;0;0;1;"5"
"2019_1_2019000079";43;"Ituzaingo";9;"F";2;34;2;0;1;0;2;"9"
"2019_1_2019000079";43;"Ituzaingo";9;"F";2;16;5;0;0;0;7;"7"
"2019_1_2019000079";43;"Ituzaingo";9;"F";1;13;9;0;0;0;1;"6"
"2019_1_2019000079";43;"Ituzaingo";9;"F";1;31;1;0;1;0;2;"8"
"2019_1_2019000079";43;"Ituzaingo";9;"F";2;84;8;0;0;0;9;"6"
"2019_1_2019000086";28;"Pque. Batlle, V. Dolores";4;"CH";2;24;1;0;1;0;2;"12"
"2019_1_2019000097";37;"Capurro, Bella Vista";16;"C";2;35;1;0;1;0;2;"13"
"2019_1_2019000097";37;"Capurro, Bella Vista";16;"C";2;5;4;0;0;0;1;"0"
"2019_1_2019000097";37;"Capurro, Bella Vista";16;"C";1;63;7;0;1;0;2;"8"
"2019_1_2019000097";37;"Capurro, Bella Vista";16;"C";2;9;4;0;0;0;1;"4"
"2019_1_2019000097";37;"Capurro, Bella Vista";16;"C";1;12;4;0;0;0;1;"5"
"2019_1_2019000097";37;"Capurro, Bella Vista";16;"C";2;64;7;0;0;0;10;"12"
"2019_1_2019000097";37;"Capurro, Bella Vista";16;"C";1;7;4;0;0;0;1;"2"
"2019_1_2019000101";29;"Ituzaingo";9;"F";2;34;1;0;1;0;2;"14"
"2019_1_2019000101";29;"Ituzaingo";9;"F";2;62;7;0;1;0;2;"6"
"2019_1_2019000101";29;"Ituzaingo";9;"F";1;12;4;0;0;0;1;"6"
"2019_1_2019000104";28;"Pocitos";5;"CH";2;6;4;0;0;0;1;"0"
"2019_1_2019000104";28;"Pocitos";5;"CH";1;9;4;0;0;0;1;"3"
"2019_1_2019000104";28;"Pocitos";5;"CH";2;37;1;0;1;0;2;"14"
"2019_1_2019000109";44;"Buceo";5;"CH";1;21;2;0;0;0;7;"14"
"2019_1_2019000109";44;"Buceo";5;"CH";2;19;1;1;0;0;3;"10"
"2019_1_2019000112";37;"Cerro";17;"A";1;8;3;0;0;0;1;"2"
"2019_1_2019000112";37;"Cerro";17;"A";1;50;2;0;1;0;2;"14"
"2019_1_2019000112";37;"Cerro";17;"A";2;18;4;0;0;0;7;"12"
"2019_1_2019000112";37;"Cerro";17;"A";2;46;1;0;1;0;2;"16"
"2019_1_2019000114";47;"Manga, Toledo Chico";10;"D";1;0;3;0;0;0;1;"0"
"2019_1_2019000114";47;"Manga, Toledo Chico";10;"D";2;3;4;0;0;0;1;"0"
"2019_1_2019000114";47;"Manga, Toledo Chico";10;"D";2;21;1;0;0;0;6;"6"
"2019_1_2019000114";47;"Manga, Toledo Chico";10;"D";1;22;2;0;1;0;2;"6"
"2019_1_2019000116";18;"Pque. Batlle, V. Dolores";4;"CH";2;56;1;0;1;0;2;"15"
"2019_1_2019000120";22;"Pe¦arol, Lavalleja";13;"G";2;72;1;0;0;0;10;"24"
"2019_1_2019000121";23;"Buceo";5;"CH";2;77;1;0;0;0;10;"14"
"2019_1_2019000123";43;"Cerro";17;"A";2;13;3;0;0;0;1;"7"
"2019_1_2019000123";43;"Cerro";17;"A";1;24;3;0;1;0;2;"11"
"2019_1_2019000123";43;"Cerro";17;"A";2;52;1;0;0;0;10;"12"
"2019_1_2019000123";43;"Cerro";17;"A";1;18;12;0;0;0;9;"3"
"2019_1_2019000123";43;"Cerro";17;"A";1;53;2;0;1;0;2;"10"
"2019_1_2019000133";23;"Conciliacion";13;"G";2;70;1;0;0;0;10;"12"
"2019_1_2019000138";39;"Pocitos";5;"CH";1;61;2;0;0;0;10;"16"
"2019_1_2019000138";39;"Pocitos";5;"CH";2;57;1;0;1;0;2;"15"
"2019_1_2019000138";39;"Pocitos";5;"CH";1;17;3;0;0;0;7;"11"
"2019_1_2019000140";50;"Aires Puros";15;"C";1;22;9;1;0;0;4;"15"
"2019_1_2019000140";50;"Aires Puros";15;"C";1;32;1;0;1;0;2;"16"
"2019_1_2019000143";21;"Pque. Batlle, V. Dolores";4;"CH";1;65;1;0;0;0;9;"2"
"2019_1_2019000144";41;"Pocitos";5;"CH";1;45;1;0;0;0;6;"17"
"2019_1_2019000155";48;"Castro, P. Castellanos";11;"D";1;9;12;0;0;0;1;"2"
"2019_1_2019000155";48;"Castro, P. Castellanos";11;"D";2;15;11;0;0;0;7;"8"
"2019_1_2019000155";48;"Castro, P. Castellanos";11;"D";2;75;1;0;0;0;10;"5"
"2019_1_2019000155";48;"Castro, P. Castellanos";11;"D";1;20;12;0;1;0;2;"10"
"2019_1_2019000155";48;"Castro, P. Castellanos";11;"D";1;15;12;0;0;0;7;"8"
"2019_1_2019000155";48;"Castro, P. Castellanos";11;"D";2;41;6;0;1;0;2;"9"
"2019_1_2019000155";48;"Castro, P. Castellanos";11;"D";1;41;4;0;1;0;2;"8"
"2019_1_2019000156";35;"Villa Espa¦ola";11;"D";1;33;9;0;1;0;2;"12"
"2019_1_2019000156";35;"Villa Espa¦ola";11;"D";2;38;1;0;1;0;2;"11"
"2019_1_2019000157";33;"Belvedere";14;"A";1;62;2;0;1;0;2;"15"
"2019_1_2019000157";33;"Belvedere";14;"A";2;66;1;0;0;0;10;"14"
"2019_1_2019000170";35;"Pocitos";5;"CH";1;44;1;0;1;0;2;"14"
"2019_1_2019000172";31;"Nuevo Paris";13;"G";2;67;1;0;1;0;2;"14"
"2019_1_2019000172";31;"Nuevo Paris";13;"G";1;74;2;0;0;0;10;"9"
"2019_1_2019000174";41;"Capurro, Bella Vista";16;"C";1;52;1;0;1;0;2;"12"
"2019_1_2019000174";41;"Capurro, Bella Vista";16;"C";2;51;2;0;1;0;2;"10"
"2019_1_2019000174";41;"Capurro, Bella Vista";16;"C";2;23;3;0;1;0;2;"13"
"2019_1_2019000174";41;"Capurro, Bella Vista";16;"C";2;13;3;0;0;0;1;"7"
"2019_1_2019000174";41;"Capurro, Bella Vista";16;"C";2;21;3;0;1;0;2;"13"
"2019_1_2019000174";41;"Capurro, Bella Vista";16;"C";1;13;3;0;0;0;1;"7"
"2019_1_2019000176";23;"Nuevo Paris";13;"G";2;72;1;0;0;0;9;"12"
"2019_1_2019000178";22;"Las Acacias";11;"D";1;73;1;0;0;0;10;"2"
"2019_1_2019000182";35;"Las Acacias";11;"D";1;12;4;0;0;0;1;"6"
"2019_1_2019000182";35;"Las Acacias";11;"D";2;22;4;0;1;0;2;"12"
"2019_1_2019000182";35;"Las Acacias";11;"D";2;50;1;0;1;0;2;"15"
"2019_1_2019000186";18;"Tres Cruces";2;"B";2;61;1;0;0;0;10;"12"
"2019_1_2019000187";35;"Ciudad Vieja";1;"B";1;48;1;0;1;0;2;"15"
"2019_1_2019000187";35;"Ciudad Vieja";1;"B";2;36;2;1;0;0;4;"16"
"2019_1_2019000191";28;"Punta Carretas";5;"CH";2;28;12;0;1;0;2;"12"
"2019_1_2019000191";28;"Punta Carretas";5;"CH";2;63;1;0;0;0;10;"17"
"2019_1_2019000194";26;"Malvin";7;"E";1;59;1;0;1;0;2;"14"
"2019_1_2019000194";26;"Malvin";7;"E";2;57;2;0;0;0;8;"9"
"2019_1_2019000196";28;"Buceo";7;"E";1;68;1;0;1;0;2;"9"
"2019_1_2019000196";28;"Buceo";7;"E";2;50;2;0;1;0;2;"9"
"2019_1_2019000197";24;"Pe¦arol, Lavalleja";13;"G";1;50;1;0;1;0;2;"6"
"2019_1_2019000198";39;"Punta Carretas";5;"CH";1;12;3;0;0;0;1;"6"
"2019_1_2019000198";39;"Punta Carretas";5;"CH";1;47;2;0;1;0;2;"17"
"2019_1_2019000198";39;"Punta Carretas";5;"CH";1;16;3;0;0;0;7;"11"
"2019_1_2019000198";39;"Punta Carretas";5;"CH";2;46;1;0;0;0;6;"17"
"2019_1_2019000198";39;"Punta Carretas";5;"CH";2;10;3;0;0;0;1;"4"
"2019_1_2019000199";40;"Belvedere";14;"A";2;16;4;0;0;0;7;"9"
"2019_1_2019000199";40;"Belvedere";14;"A";1;54;1;0;1;1;2;"13"
"2019_1_2019000199";40;"Belvedere";14;"A";1;19;12;1;0;0;4;"10"
"2019_1_2019000199";40;"Belvedere";14;"A";2;49;9;0;1;0;2;"11"
"2019_1_2019000201";25;"Pocitos";5;"CH";1;63;1;0;0;0;10;"20"
"2019_1_2019000209";39;"Casabo, Pajas Blancas";17;"A";2;27;4;0;1;0;2;"11"
"2019_1_2019000209";39;"Casabo, Pajas Blancas";17;"A";2;46;1;1;0;0;4;"8"
"2019_1_2019000209";39;"Casabo, Pajas Blancas";17;"A";2;21;4;0;0;0;11;"6"
"2019_1_2019000211";25;"Pque. Batlle, V. Dolores";5;"CH";2;23;1;0;1;0;2;"16"
"2019_1_2019000217";38;"Manga, Toledo Chico";10;"D";2;62;1;0;0;0;9;"6"
"2019_1_2019000217";38;"Manga, Toledo Chico";10;"D";2;12;11;0;0;0;1;"6"
"2019_1_2019000217";38;"Manga, Toledo Chico";10;"D";1;15;11;0;0;0;7;"9"
"2019_1_2019000217";38;"Manga, Toledo Chico";10;"D";2;38;4;0;1;0;2;"12"
"2019_1_2019000223";23;"La Figurita";3;"C";2;89;1;0;0;0;10;"7"
"2019_1_2019000226";46;"Pe¦arol, Lavalleja";13;"G";1;28;1;0;1;0;2;"9"
"2019_1_2019000226";46;"Pe¦arol, Lavalleja";13;"G";2;3;3;0;0;0;1;"0"
"2019_1_2019000226";46;"Pe¦arol, Lavalleja";13;"G";2;26;2;0;1;0;2;"11"
"2019_1_2019000227";23;"Pocitos";5;"CH";2;92;1;0;0;0;10;"12"
"2019_1_2019000233";26;"La Paloma, Tomkinson";17;"A";1;51;1;0;1;0;2;"12"
"2019_1_2019000241";40;"Paso de la Arena";18;"A";1;23;3;0;1;0;2;"14"
"2019_1_2019000241";40;"Paso de la Arena";18;"A";2;57;2;0;1;0;2;"14"
"2019_1_2019000241";40;"Paso de la Arena";18;"A";1;59;1;0;0;0;8;"12"
"2019_1_2019000242";38;"Casabo, Pajas Blancas";17;"A";2;33;1;0;1;0;2;"12"
"2019_1_2019000242";38;"Casabo, Pajas Blancas";17;"A";1;32;2;0;1;0;2;"8"
"2019_1_2019000245";47;"Conciliacion";13;"G";1;9;5;0;0;0;1;"2"
"2019_1_2019000245";47;"Conciliacion";13;"G";2;26;2;0;1;0;2;"15"
"2019_1_2019000245";47;"Conciliacion";13;"G";2;5;5;0;0;0;1;"0"
"2019_1_2019000245";47;"Conciliacion";13;"G";1;28;1;0;1;0;2;"11"
"2019_1_2019000246";27;"Pocitos";5;"CH";2;79;2;0;0;0;10;"12"
"2019_1_2019000246";27;"Pocitos";5;"CH";1;75;1;0;0;0;10;"12"
"2019_1_2019000247";16;"Barrio Sur";1;"B";2;33;1;0;1;1;2;"21"
"2019_1_2019000262";36;"Tres Cruces";2;"B";1;36;1;0;1;0;2;"10"
"2019_1_2019000262";36;"Tres Cruces";2;"B";2;32;2;0;1;0;2;"20"
"2019_1_2019000263";31;"Villa Garcia, Manga Rur.";9;"F";2;52;2;0;1;0;2;"11"
"2019_1_2019000263";31;"Villa Garcia, Manga Rur.";9;"F";1;57;1;0;1;0;2;"7"
"2019_1_2019000264";36;"Buceo";5;"CH";1;41;1;0;1;1;2;"6"
"2019_1_2019000264";36;"Buceo";5;"CH";2;43;2;0;1;0;2;"10"
"2019_1_2019000267";44;"Pta. Rieles, Bella Italia";9;"F";2;16;5;0;0;0;7;"10"
"2019_1_2019000267";44;"Pta. Rieles, Bella Italia";9;"F";1;27;1;0;1;0;2;"9"
"2019_1_2019000267";44;"Pta. Rieles, Bella Italia";9;"F";1;10;5;0;0;0;1;"3"
"2019_1_2019000267";44;"Pta. Rieles, Bella Italia";9;"F";2;4;3;0;0;0;1;"0"
"2019_1_2019000267";44;"Pta. Rieles, Bella Italia";9;"F";2;37;2;0;1;0;2;"13"
"2019_1_2019000272";35;"Sayago";13;"G";1;43;2;0;1;1;2;"9"
"2019_1_2019000272";35;"Sayago";13;"G";2;40;1;0;1;0;2;"14"
"2019_1_2019000275";42;"Reducto";3;"C";1;16;5;0;0;0;7;"10"
"2019_1_2019000275";42;"Reducto";3;"C";2;47;2;0;1;0;2;"16"
"2019_1_2019000275";42;"Reducto";3;"C";1;47;1;0;1;0;2;"12"
"2019_1_2019000276";23;"Las Acacias";11;"D";2;81;1;0;0;0;9;"6"
"2019_1_2019000284";30;"Pe¦arol, Lavalleja";13;"G";2;74;1;0;0;0;9;"8"
"2019_1_2019000284";30;"Pe¦arol, Lavalleja";13;"G";1;82;2;0;0;0;10;"12"
"2019_1_2019000290";31;"Centro";1;"B";2;81;2;0;0;0;10;"14"
"2019_1_2019000290";31;"Centro";1;"B";1;83;1;0;0;0;10;"12"
"2019_1_2019000300";41;"Centro";1;"B";2;19;12;0;0;0;9;"13"
"2019_1_2019000300";41;"Centro";1;"B";2;25;1;0;1;0;2;"16"
"2019_1_2019000301";35;"Pe¦arol, Lavalleja";13;"G";2;45;1;0;1;0;2;"9"
"2019_1_2019000301";35;"Pe¦arol, Lavalleja";13;"G";1;4;11;0;0;0;1;"0"
"2019_1_2019000301";35;"Pe¦arol, Lavalleja";13;"G";2;24;4;0;1;0;2;"7"
"2019_1_2019000305";31;"Reducto";16;"C";2;46;3;0;0;0;11;"6"
"2019_1_2019000305";31;"Reducto";16;"C";1;73;1;0;0;0;10;"9"
"2019_1_2019000305";31;"Reducto";16;"C";2;72;2;0;0;0;10;"6"
"2019_1_2019000308";40;"Villa Espa¦ola";9;"F";1;46;1;0;1;0;2;"6"
"2019_1_2019000310";18;"Paso de la Arena";18;"A";2;64;1;0;0;0;10;"8"
"2019_1_2019000315";21;"Cordon";2;"B";1;74;1;0;0;0;10;"10"
"2019_1_2019000317";44;"Conciliacion";13;"G";1;38;2;0;1;0;2;"8"
"2019_1_2019000317";44;"Conciliacion";13;"G";1;4;3;0;0;0;1;"0"
"2019_1_2019000317";44;"Conciliacion";13;"G";2;7;3;0;0;0;1;"1"
"2019_1_2019000317";44;"Conciliacion";13;"G";1;10;3;0;0;0;1;"4"
"2019_1_2019000317";44;"Conciliacion";13;"G";2;41;1;0;1;0;2;"14"
"2019_1_2019000320";40;"La Teja";14;"A";2;32;2;0;0;0;6;"6"
"2019_1_2019000320";40;"La Teja";14;"A";2;10;3;0;0;0;1;"3"
"2019_1_2019000320";40;"La Teja";14;"A";1;44;1;0;1;0;2;"8"
"2019_1_2019000320";40;"La Teja";14;"A";1;12;3;0;0;0;1;"5"
"2019_1_2019000321";43;"Casabo, Pajas Blancas";17;"A";2;38;1;1;0;0;4;"8"
"2019_1_2019000321";43;"Casabo, Pajas Blancas";17;"A";1;15;3;0;0;0;11;"6"
"2019_1_2019000321";43;"Casabo, Pajas Blancas";17;"A";1;58;2;0;1;0;2;"8"
"2019_1_2019000321";43;"Casabo, Pajas Blancas";17;"A";2;15;12;0;0;0;7;"8"
"2019_1_2019000326";42;"La Paloma, Tomkinson";17;"A";1;41;4;0;1;0;2;"9"
"2019_1_2019000326";42;"La Paloma, Tomkinson";17;"A";2;5;11;0;0;0;1;"0"
"2019_1_2019000326";42;"La Paloma, Tomkinson";17;"A";2;67;1;0;0;0;9;"12"
"2019_1_2019000326";42;"La Paloma, Tomkinson";17;"A";2;39;6;0;1;0;2;"17"
"2019_1_2019000327";39;"Cerrito";11;"D";2;11;3;0;0;0;1;"5"
"2019_1_2019000327";39;"Cerrito";11;"D";1;34;2;0;1;0;2;"9"
"2019_1_2019000327";39;"Cerrito";11;"D";2;31;1;0;1;0;2;"9"
"2019_1_2019000333";39;"Union";6;"E";1;47;1;1;0;0;4;"10"
"2019_1_2019000335";30;"Palermo";2;"B";2;60;1;0;0;0;10;"22"
"2019_1_2019000335";30;"Palermo";2;"B";1;59;2;0;1;0;2;"13"
"2019_1_2019000337";24;"Pe¦arol, Lavalleja";13;"G";2;36;4;0;1;0;2;"9"
"2019_1_2019000337";24;"Pe¦arol, Lavalleja";13;"G";2;64;1;0;0;0;10;"6"
"2019_1_2019000339";42;"Pta. Rieles, Bella Italia";9;"F";2;36;2;0;1;0;2;"10"
"2019_1_2019000339";42;"Pta. Rieles, Bella Italia";9;"F";2;12;11;0;0;0;1;"5"
"2019_1_2019000339";42;"Pta. Rieles, Bella Italia";9;"F";2;3;11;0;0;0;1;"0"
"2019_1_2019000339";42;"Pta. Rieles, Bella Italia";9;"F";1;6;3;0;0;0;1;"0"
"2019_1_2019000339";42;"Pta. Rieles, Bella Italia";9;"F";1;54;1;0;1;0;2;"7"
"2019_1_2019000339";42;"Pta. Rieles, Bella Italia";9;"F";2;23;4;0;0;0;11;"6"
"2019_1_2019000341";23;"Aires Puros";15;"C";2;70;1;0;1;1;2;"14"
"2019_1_2019000350";33;"Cerrito";11;"D";2;56;4;0;0;0;6;"12"
"2019_1_2019000350";33;"Cerrito";11;"D";2;83;1;0;0;0;9;"6"
"2019_1_2019000350";33;"Cerrito";11;"D";1;56;6;0;0;0;11;"9"
"2019_1_2019000358";25;"Las Acacias";11;"D";1;53;1;0;1;0;2;"6"
"2019_1_2019000362";43;"Centro";1;"B";1;21;3;1;0;0;4;"15"
"2019_1_2019000362";43;"Centro";1;"B";2;19;3;0;0;0;7;"12"
"2019_1_2019000362";43;"Centro";1;"B";1;52;1;0;1;0;2;"18"
"2019_1_2019000362";43;"Centro";1;"B";2;52;2;0;1;0;2;"11"
"2019_1_2019000367";44;"Centro";1;"B";2;27;1;0;1;0;2;"15"
"2019_1_2019000367";44;"Centro";1;"B";1;27;13;0;1;0;2;"10"
"2019_1_2019000368";37;"Pta. Rieles, Bella Italia";9;"F";1;26;4;0;0;0;7;"14"
"2019_1_2019000368";37;"Pta. Rieles, Bella Italia";9;"F";1;66;1;0;0;0;10;"9"
"2019_1_2019000370";39;"Barrio Sur";1;"B";2;20;3;0;0;0;7;"9"
"2019_1_2019000370";39;"Barrio Sur";1;"B";2;62;2;0;1;0;2;"16"
"2019_1_2019000370";39;"Barrio Sur";1;"B";1;22;3;0;0;0;7;"12"
"2019_1_2019000370";39;"Barrio Sur";1;"B";1;68;1;0;0;0;10;"13"
"2019_1_2019000376";43;"Centro";2;"B";1;22;13;0;1;0;2;"14"
"2019_1_2019000376";43;"Centro";2;"B";1;63;2;0;1;0;2;"18"
"2019_1_2019000376";43;"Centro";2;"B";2;22;3;0;0;0;7;"15"
"2019_1_2019000376";43;"Centro";2;"B";2;58;1;0;1;0;2;"19"
"2019_1_2019000381";29;"Colon Centro y Noroeste";12;"G";1;55;2;0;1;1;2;"3"
"2019_1_2019000381";29;"Colon Centro y Noroeste";12;"G";2;58;1;0;1;0;2;"11"
"2019_1_2019000382";44;"Pe¦arol, Lavalleja";13;"G";1;16;3;0;0;0;7;"6"
"2019_1_2019000382";44;"Pe¦arol, Lavalleja";13;"G";1;14;3;0;0;0;7;"6"
"2019_1_2019000382";44;"Pe¦arol, Lavalleja";13;"G";1;11;3;0;0;0;1;"3"
"2019_1_2019000382";44;"Pe¦arol, Lavalleja";13;"G";1;44;1;0;1;0;2;"8"
"2019_1_2019000382";44;"Pe¦arol, Lavalleja";13;"G";2;43;2;1;0;0;4;"7"
"2019_1_2019000383";26;"La Comercial";3;"C";2;54;1;0;1;0;2;"8"
"2019_1_2019000383";26;"La Comercial";3;"C";1;73;2;0;0;0;10;"8"
"2019_1_2019000384";44;"Nuevo Paris";13;"G";1;20;3;0;1;0;2;"11"
"2019_1_2019000384";44;"Nuevo Paris";13;"G";1;12;3;0;0;0;1;"6"
"2019_1_2019000384";44;"Nuevo Paris";13;"G";2;42;1;0;1;0;2;"6"
"2019_1_2019000384";44;"Nuevo Paris";13;"G";1;49;2;0;1;0;2;"6"
"2019_1_2019000388";33;"Malvin Norte";6;"E";1;51;4;0;0;0;6;"6"
"2019_1_2019000388";33;"Malvin Norte";6;"E";2;76;1;0;0;0;10;"6"
"2019_1_2019000390";23;"Aires Puros";15;"C";2;69;1;0;0;0;10;"15"
"2019_1_2019000391";44;"La Teja";14;"A";1;2;3;0;0;0;1;"0"
"2019_1_2019000391";44;"La Teja";14;"A";2;23;1;0;1;0;2;"11"
"2019_1_2019000391";44;"La Teja";14;"A";1;24;2;0;1;0;2;"11"
"2019_1_2019000394";42;"Aguada";3;"C";2;33;2;0;1;0;2;"15"
"2019_1_2019000394";42;"Aguada";3;"C";1;29;9;0;1;0;2;"12"
"2019_1_2019000394";42;"Aguada";3;"C";1;32;1;0;1;1;2;"12"
"2019_1_2019000401";49;"Casabo, Pajas Blancas";17;"A";2;14;4;0;0;0;7;"8"
"2019_1_2019000401";49;"Casabo, Pajas Blancas";17;"A";2;18;4;1;0;0;3;"9"
"2019_1_2019000401";49;"Casabo, Pajas Blancas";17;"A";2;40;12;0;1;0;2;"6"
"2019_1_2019000401";49;"Casabo, Pajas Blancas";17;"A";1;20;4;1;0;0;4;"8"
"2019_1_2019000401";49;"Casabo, Pajas Blancas";17;"A";1;42;1;0;1;0;2;"9"
"2019_1_2019000401";49;"Casabo, Pajas Blancas";17;"A";2;7;4;0;0;0;1;"2"
"2019_1_2019000402";35;"La Comercial";2;"B";2;40;2;0;1;0;2;"14"
"2019_1_2019000402";35;"La Comercial";2;"B";1;48;1;0;1;0;2;"13"
"2019_1_2019000405";42;"Pocitos";5;"CH";2;61;4;0;1;0;2;"14"
"2019_1_2019000405";42;"Pocitos";5;"CH";1;83;1;0;0;0;9;"9"
"2019_1_2019000405";42;"Pocitos";5;"CH";1;3;12;0;0;0;1;"0"
"2019_1_2019000405";42;"Pocitos";5;"CH";1;6;12;0;0;0;1;"0"
"2019_1_2019000405";42;"Pocitos";5;"CH";1;35;11;0;1;0;2;"17"
"2019_1_2019000405";42;"Pocitos";5;"CH";1;10;12;0;0;0;1;"3"
"2019_1_2019000405";42;"Pocitos";5;"CH";2;34;12;0;1;0;2;"15"
"2019_1_2019000407";31;"Punta Gorda";7;"E";2;56;2;0;1;0;2;"13"
"2019_1_2019000407";31;"Punta Gorda";7;"E";2;24;3;0;1;0;2;"15"
"2019_1_2019000407";31;"Punta Gorda";7;"E";1;26;3;0;1;0;2;"16"
"2019_1_2019000407";31;"Punta Gorda";7;"E";1;56;1;0;1;0;2;"16"
"2019_1_2019000407";31;"Punta Gorda";7;"E";2;22;3;0;1;0;2;"14"
