"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"desocupado";"ocupados";"subempleo";"pobpcoac";"TotEduc"
"2019_1_2019030560";36;"Las Acacias";11;"D";1;70;1;0;0;0;10;"6"
"2019_1_2019030565";44;"Castro, P. Castellanos";11;"D";2;0;3;0;0;0;1;"0"
"2019_1_2019030565";44;"Castro, P. Castellanos";11;"D";1;32;2;0;1;0;2;"12"
"2019_1_2019030565";44;"Castro, P. Castellanos";11;"D";1;15;4;0;0;0;7;"8"
"2019_1_2019030565";44;"Castro, P. Castellanos";11;"D";1;7;3;0;0;0;1;"1"
"2019_1_2019030565";44;"Castro, P. Castellanos";11;"D";2;36;1;0;1;0;2;"13"
"2019_1_2019030572";36;"Las Canteras";8;"E";2;20;3;1;0;0;3;"14"
"2019_1_2019030572";36;"Las Canteras";8;"E";1;53;1;0;1;0;2;"16"
"2019_1_2019030572";36;"Las Canteras";8;"E";2;54;2;0;1;0;2;"16"
"2019_1_2019030574";28;"Cerro";17;"A";2;6;12;0;0;0;1;"0"
"2019_1_2019030574";28;"Cerro";17;"A";2;62;1;0;0;0;9;"6"
"2019_1_2019030577";35;"Malvin";7;"E";2;54;1;0;1;0;2;"18"
"2019_1_2019030577";35;"Malvin";7;"E";1;23;4;0;0;0;6;"12"
"2019_1_2019030579";23;"Jardines del Hipodromo";9;"F";2;86;1;0;0;0;9;"2"
"2019_1_2019030582";50;"Villa Espa¦ola";11;"D";1;47;1;0;1;0;2;"6"
"2019_1_2019030582";50;"Villa Espa¦ola";11;"D";1;23;4;0;1;0;2;"9"
"2019_1_2019030586";28;"Pocitos";5;"CH";2;78;1;0;0;0;10;"16"
"2019_1_2019030586";28;"Pocitos";5;"CH";1;75;2;0;0;0;11;"9"
"2019_1_2019030586";28;"Pocitos";5;"CH";2;50;3;0;1;0;2;"18"
"2019_1_2019030588";35;"Aguada";3;"C";1;12;4;0;0;0;1;"6"
"2019_1_2019030588";35;"Aguada";3;"C";1;53;1;0;1;0;2;"18"
"2019_1_2019030592";27;"Malvin";7;"E";1;70;1;0;0;0;10;"12"
"2019_1_2019030592";27;"Malvin";7;"E";2;65;2;0;0;0;10;"10"
"2019_1_2019030599";18;"Manga";10;"D";2;50;1;1;0;0;4;"8"
"2019_1_2019030601";27;"Pocitos";5;"CH";1;84;2;0;0;0;10;"22"
"2019_1_2019030601";27;"Pocitos";5;"CH";2;69;1;0;0;0;10;"6"
"2019_1_2019030602";37;"La Comercial";3;"C";1;62;1;0;0;0;10;"16"
"2019_1_2019030602";37;"La Comercial";3;"C";1;22;3;0;0;0;7;"14"
"2019_1_2019030602";37;"La Comercial";3;"C";2;57;2;0;1;0;2;"14"
"2019_1_2019030607";44;"Paso de la Arena";18;"A";1;65;1;0;1;0;2;"3"
"2019_1_2019030607";44;"Paso de la Arena";18;"A";1;26;3;0;1;0;2;"9"
"2019_1_2019030607";44;"Paso de la Arena";18;"A";2;50;2;0;1;0;2;"6"
"2019_1_2019030607";44;"Paso de la Arena";18;"A";1;23;3;0;1;0;2;"9"
"2019_1_2019030609";47;"Paso de la Arena";18;"A";2;26;1;0;1;0;2;"8"
"2019_1_2019030609";47;"Paso de la Arena";18;"A";2;8;3;0;0;0;1;"2"
"2019_1_2019030609";47;"Paso de la Arena";18;"A";1;34;2;0;0;0;6;"8"
"2019_1_2019030610";38;"Conciliacion";13;"G";2;36;1;0;1;0;2;"11"
"2019_1_2019030610";38;"Conciliacion";13;"G";1;35;2;0;1;0;2;"11"
"2019_1_2019030610";38;"Conciliacion";13;"G";2;7;3;0;0;0;1;"2"
"2019_1_2019030611";32;"Manga, Toledo Chico";10;"D";1;84;1;0;0;0;10;"2"
"2019_1_2019030611";32;"Manga, Toledo Chico";10;"D";2;80;2;0;0;0;9;"12"
"2019_1_2019030616";24;"Conciliacion";13;"G";2;63;1;0;0;0;10;"12"
"2019_1_2019030616";24;"Conciliacion";13;"G";2;30;4;0;1;0;2;"18"
"2019_1_2019030617";18;"Malvin";7;"E";1;72;1;0;0;0;10;"6"
"2019_1_2019030627";44;"Pocitos";5;"CH";2;29;1;0;1;1;2;"18"
"2019_1_2019030627";44;"Pocitos";5;"CH";1;29;2;0;1;0;2;"18"
"2019_1_2019030628";18;"Malvin Norte";6;"E";2;62;1;0;0;0;10;"15"
"2019_1_2019030631";28;"Carrasco";8;"E";2;57;2;0;1;0;2;"17"
"2019_1_2019030631";28;"Carrasco";8;"E";2;18;3;0;0;0;11;"12"
"2019_1_2019030631";28;"Carrasco";8;"E";1;57;1;0;1;0;2;"17"
"2019_1_2019030631";28;"Carrasco";8;"E";2;23;3;0;1;0;2;"17"
"2019_1_2019030640";49;"Casabo, Pajas Blancas";17;"A";1;10;3;0;0;0;1;"3"
"2019_1_2019030640";49;"Casabo, Pajas Blancas";17;"A";1;34;2;0;1;0;2;"6"
"2019_1_2019030640";49;"Casabo, Pajas Blancas";17;"A";2;11;3;0;0;0;1;"5"
"2019_1_2019030640";49;"Casabo, Pajas Blancas";17;"A";2;28;1;0;1;0;2;"8"
"2019_1_2019030644";16;"La Figurita";3;"C";2;40;1;0;1;0;2;"20"
"2019_1_2019030664";45;"Malvin";6;"E";2;44;2;0;0;0;10;"9"
"2019_1_2019030664";45;"Malvin";6;"E";1;46;1;0;1;0;2;"12"
"2019_1_2019030664";45;"Malvin";6;"E";2;8;3;0;0;0;1;"2"
"2019_1_2019030664";45;"Malvin";6;"E";1;17;3;0;0;0;7;"11"
"2019_1_2019030665";30;"Cordon";2;"B";1;53;1;0;1;0;2;"17"
"2019_1_2019030665";30;"Cordon";2;"B";2;51;2;0;1;0;2;"18"
"2019_1_2019030666";14;"Pocitos";5;"CH";2;34;1;0;1;0;2;"15"
"2019_1_2019030668";37;"Union";11;"D";2;28;1;0;1;0;2;"9"
"2019_1_2019030668";37;"Union";11;"D";2;4;4;0;0;0;1;"0"
"2019_1_2019030669";33;"Pocitos";5;"CH";1;82;7;0;0;0;10;"6"
"2019_1_2019030669";33;"Pocitos";5;"CH";2;86;7;0;0;0;10;"6"
"2019_1_2019030669";33;"Pocitos";5;"CH";2;52;1;0;1;0;2;"12"
"2019_1_2019030673";41;"Parque Rodo";2;"B";1;42;1;0;1;0;2;"15"
"2019_1_2019030676";35;"Punta Carretas";5;"CH";2;44;1;0;1;0;2;"16"
"2019_1_2019030676";35;"Punta Carretas";5;"CH";1;19;4;0;0;0;7;"11"
"2019_1_2019030676";35;"Punta Carretas";5;"CH";1;23;4;0;0;0;11;"14"
"2019_1_2019030679";23;"La Blanqueada";6;"E";2;83;1;0;0;0;10;"4"
